id,created_at,text,favorite_count,retweet_count,is_retweet,language,media_type
1466142495214080007,2021-12-01 20:29:45+00:00,"""The facts are that life continues after birth and you refuse to protect living children,"" Fred Guttenburg, whose daughter died in a school shooting, said. https://t.co/Ug78zgWoEW",123,52,No,en,no media
1466134148750393351,2021-12-01 19:56:35+00:00,Mark Meadows revealed in his book that the former president had first tested positive for the coronavirus nearly a week before he admitted it. https://t.co/BDRfJsblmG,25,20,No,en,no media
1466127704575647746,2021-12-01 19:30:58+00:00,The women's professional tennis tour says it is suspending tournaments in China because of concern about Peng Shuai's safety. https://t.co/YHkIsxmxGB,19,13,No,en,no media
1466122526539632651,2021-12-01 19:10:24+00:00,"The star anchor said he understands why he had to leave the network and that he never meant to ""compromise"" his colleagues. https://t.co/VgZPds39uP",7,3,No,en,no media
1466118732191870978,2021-12-01 18:55:19+00:00,"Nearly 20 countries have recorded the variant, triggering travel bans across the world. https://t.co/eXLki65Mkc",3,1,No,en,no media
1466114186744942599,2021-12-01 18:37:15+00:00,Google wants Jonathan Kanter to recuse himself from DOJ’s antitrust case against the company. https://t.co/1vC2KRQHsg,8,3,No,en,no media
1466110398545940492,2021-12-01 18:22:12+00:00,The former secretary of state tweeted a not-so-subtle jab at Trump’s love for hamburgers. https://t.co/GsmFoFz3Iv,34,9,No,en,no media
1466108059709808658,2021-12-01 18:12:55+00:00,BREAKING: The immediate consensus after today's arguments came to a close in Dobbs v. Jackson Women’s Health Organization: Roe v Wade is in serious danger. https://t.co/MxEg6RPu55,0,34,Yes,en,no media
1466106607847227393,2021-12-01 18:07:08+00:00,"Justice Sonia Sotomayor warned that the Supreme Court won't survive the ""stench"" of partisanship in the Mississippi abortion case. https://t.co/eIrUXifIvo",25,11,No,en,no media
1466095353556574219,2021-12-01 17:22:25+00:00,"The gamblers won a collective total of nearly $15,000 only to have their wagers voided later. https://t.co/uNPrdU26UK",0,0,No,en,no media
1466091555232567307,2021-12-01 17:07:20+00:00,The rule requiring employees at large companies to get vaccinated or be tested weekly hasn’t taken effect yet. https://t.co/l1OvwLHrbK,5,5,No,en,no media
1466086612140498953,2021-12-01 16:47:41+00:00,A series of injunctions have held up key components of the president’s vaccination campaign in court. https://t.co/2LsuOgOHRA,13,7,No,en,no media
1466082820732903433,2021-12-01 16:32:37+00:00,"James D. Beeks, who played Judas in the musical, inspired a new version of the song. https://t.co/k3SuFAvSYI",2,1,No,en,no media
1466068291475197957,2021-12-01 15:34:53+00:00,"Russell James Peterson called for ""war"" and his mom bragged about his antics on Facebook after they traveled to D.C. on Jan. 6. https://t.co/qKDaCA42fx",14,9,No,en,no media
1466058193633697795,2021-12-01 14:54:46+00:00,"Police in Munich, Germany, say a World War II bomb has exploded at a construction site next to a busy railway line. https://t.co/Geywy4dxhx",5,4,No,en,no media
1466054025909092362,2021-12-01 14:38:12+00:00,A parody ad for a Mark Zuckerberg-themed holiday toy shows what would happen if Santa's spy met Facebook's algorithm. https://t.co/Qef34MZbLt,8,3,No,en,no media
1466050235080269829,2021-12-01 14:23:08+00:00,The Fox News host defended the CNN newsman for helping brother Andrew Cuomo fight sexual misconduct accusations. https://t.co/VUjuas7e3O,6,3,No,en,no media
1466045313354027010,2021-12-01 14:03:35+00:00,The first lady read her book to students at a White House Christmas event but the children weren't naughty -- just nice. https://t.co/MaKScETRpp,12,4,No,en,no media
1466015029363449856,2021-12-01 12:03:14+00:00,"A stark change in GOP talking points prompted a damning question from ""The Daily Show"" host. https://t.co/uNLbecz8Zq",10,5,No,en,no media
1466011237343445000,2021-12-01 11:48:10+00:00,Danny Rodriguez was arrested by the FBI after a HuffPost story named him as the rioter who drove a stun gun into Mike Fanone's neck. https://t.co/6vBmBLIQW5,71,38,No,en,no media
1465999747328708608,2021-12-01 11:02:31+00:00,"The Green Bay Packers quarterback was on the receiving end of a brief but brutal ding from ""The Late Show"" comedian. https://t.co/PN3TiDkPi8",15,5,No,en,no media
1465977297891205120,2021-12-01 09:33:19+00:00,"The then-president's second test showed negative, the former White House chief of staff writes in his new book. Trump was hospitalized a week later. https://t.co/INM1d41sb2",10,9,No,en,no media
1465956489940586502,2021-12-01 08:10:38+00:00,"The Denver Post editorial board slammed the conspiracy theory-endorsing Colorado Republican as ""clearly incapable of remorse or reflection."" https://t.co/VlsPCh5o9s",111,41,No,en,no media
1465947658363748352,2021-12-01 07:35:32+00:00,The “Jimmy Kimmel Live!” host also debuted a damning new nickname for extremist Republican Rep. Lauren Boebert. https://t.co/f8aA4CHhw4,363,78,No,en,no media
1465923829511897088,2021-12-01 06:00:51+00:00,"Televangelist Marcus Lamb, president and founder of Daystar Television Network, died at age 64. https://t.co/FqU8N2ZXYN",49,22,No,en,no media
1465916009253122051,2021-12-01 05:29:46+00:00,Home is where the heart is — or where you can rent your in-laws' place. https://t.co/2GZ7dQ2Crt,15,9,No,en,no media
1465899621675327494,2021-12-01 04:24:39+00:00,Tests within 24 hours of departure and even self-quarantine rules are all reportedly on the table amid the spread of the omicron variant. https://t.co/PJ1hoAlqug,6,2,No,en,no media
1465863323115659269,2021-12-01 02:00:25+00:00,"UPDATE: It's been reported that a total of eight people were injured in the shooting at Oxford High School in Michigan, including one teacher. 

A 15-year-old suspect was taken into custody following the shooting, which claimed three lives.

https://t.co/AnzjaW26iO",5,2,No,en,no media
1465840952703082502,2021-12-01 00:31:31+00:00,"After Omar was called “the jihad squad,” GOP leaders are told: “Condemning this should not be a partisan issue. This is about our basic humanity.” https://t.co/hquuOsWkCb",46,10,No,en,no media
1465835648372207618,2021-12-01 00:10:27+00:00,Prominent Jewish groups spoke out after Logan compared Fauci to a Nazi doctor who experimented on death camp prisoners. https://t.co/r7Jxz4Y6S2,111,34,No,en,no media
1465831853458395151,2021-11-30 23:55:22+00:00,"""If some news channel intern did what Chris Cuomo did they'd have been fired one second after these docs were published,"" one journalist noted. https://t.co/DkflZfxYx7",21,2,No,en,no media
1465826774512713730,2021-11-30 23:35:11+00:00,BREAKING: CNN has suspended anchor Chris Cuomo indefinitely after text messages revealed he went to great lengths to defend his scandal-engulfed brother. https://t.co/TFk9T36bWV,45,8,No,en,no media
1465817324481654785,2021-11-30 22:57:38+00:00,The former Judiciary Committee chairman and longest-serving U.S. senator says it's time for the Native American activist to go home after 44 years. https://t.co/kObIdceAOz,38,14,No,en,no media
1465810762715303947,2021-11-30 22:31:33+00:00,It’s the first time a spacewalk has been canceled because of threat from space junk. https://t.co/73xAgokaXq,6,0,No,en,no media
1465785358323433472,2021-11-30 20:50:37+00:00,"""The Republican Party is the party of washed up celebrities running for office they have zero qualifications to hold,"" one person noted. https://t.co/7xy9rbxCaC",74,26,No,en,no media
1465780301402046467,2021-11-30 20:30:31+00:00,A 15-year-old sophomore at Oxford High School in Michigan was taken into custody as a suspect in the shooting. https://t.co/6C8pYWnywT,25,14,No,en,no media
1465776509591957510,2021-11-30 20:15:27+00:00,"“The statute outlaws no weapon, but only limits the size of the magazine that may be used with firearms,” the judges ruled in the 7-4 decision. https://t.co/EiKneP1M7a",20,7,No,en,no media
1465772715558776833,2021-11-30 20:00:22+00:00,"""She doesn't have a backpack, she wasn't dropping it and running so we're good,"" Boebert told a crowd in September. https://t.co/IMNnG6iH5C",1,1,No,en,no media
1465767417133604871,2021-11-30 19:39:19+00:00,"Provisions relating to immigration, climate and prescription drugs are at risk of being stripped out following a review from the Senate's rulekeeper. https://t.co/HKkoK1bBQE",2,2,No,en,no media
1465762622163275776,2021-11-30 19:20:16+00:00,"Trump's former chief of staff has ""produced records to the committee and will soon appear for an initial deposition,"" the committee stated. https://t.co/8kGaZIHZCK",18,5,No,en,no media
1465758837676417027,2021-11-30 19:05:14+00:00,"The calf appeared to be left for dead in Masai Mara, Kenya. https://t.co/AzCFkz0pLB",1,1,No,en,no media
1465755046969290765,2021-11-30 18:50:10+00:00,"Pretty sure this is how the kids spell ""bats**t crazy."" https://t.co/bxvGk8ywJO",9,7,No,en,no media
1465751259529596933,2021-11-30 18:35:07+00:00,"The political newcomer, known for his TV program, is planning to join the race as a Republican. https://t.co/Xkd0gZAFaJ",6,4,No,en,no media
1465747466612097024,2021-11-30 18:20:02+00:00,"""May you continue to shine like a diamond, and bring honor to your nation,"" the prime minister said at an event marking the country's new status as a republic. https://t.co/ZiVwF6WIz1",22,3,No,en,no media
1465743675040976903,2021-11-30 18:04:58+00:00,"California, New York and Texas are running out of money, while other states like Montana and North Dakota have barely touched their rental assistance funds. https://t.co/UMaPdtoaUv",5,4,No,en,no media
1465739879296479235,2021-11-30 17:49:54+00:00,The Netherlands’ RIVM health institute found omicron in samples dating from Nov. 19 and 23. https://t.co/B4UtvoJnup,3,6,No,en,no media
1465736096709746689,2021-11-30 17:34:52+00:00,Lee Price III was sentenced to nine years in a federal prison after authorities said he fraudulently obtained federal coronavirus relief funds. https://t.co/Pl6T6RlNnq,6,3,No,en,no media
1465719897363787787,2021-11-30 16:30:29+00:00,He said libel hurts many people and even can lead to suicide. https://t.co/lFNwZKZTKv,5,0,No,en,no media
1465716103473160196,2021-11-30 16:15:25+00:00,"""The Daily Show"" highlights how it's all Greek to pundits and the president. https://t.co/Rvb0dtkMTb",6,5,No,en,no media
1465712304310259713,2021-11-30 16:00:19+00:00,Sandra Mason was sworn in as the first president of the former British colony during Monday's celebrations. https://t.co/fqHBfDa3Li,17,4,No,en,no media
1465679230595964936,2021-11-30 13:48:54+00:00,Dutch health authorities said the coronavirus variant was found in samples taken before South Africa first reported the variant to the World Health Organization. https://t.co/yX9LClPU6j,19,14,No,en,no media
1465662328129699847,2021-11-30 12:41:44+00:00,The Fox News host continued the right's attack on the infectious disease expert after Fauci snapped back at Ted Cruz. https://t.co/2PqpLgJo1I,5,5,No,en,no media
1465658541570732037,2021-11-30 12:26:41+00:00,The preliminary injunction applies to a coalition of suing states which all have either a Republican attorney general or governor. https://t.co/WeTPnGfYpU,3,3,No,en,no media
1465634559110823936,2021-11-30 10:51:23+00:00,Virginia’s Black families say their views have been sidelined in the uproar over teaching about race and racism in schools. https://t.co/5HLzPhlccL,69,35,No,en,no media
1465630769842380803,2021-11-30 10:36:20+00:00,"“Let them swim in their own slop,” the Democratic strategist said of dealing with extremist Republicans Lauren Boebert, Marjorie Taylor Greene and Paul Gosar. https://t.co/PTMLbh2prq",57,24,No,en,no media
1465612231463378948,2021-11-30 09:22:40+00:00,"""The Late Show"" mockingly explained why the online discount day is “the highlight of the holiday season."" https://t.co/08XFUxnfHz",6,2,No,en,no media
1465602394029535236,2021-11-30 08:43:34+00:00,"CNN's S.E. Cupp and The Washington Post's Max Boot slammed the conservative network as irresponsible and ""covidiocy central."" https://t.co/zadnRYm6uc",9,7,No,en,no media
1465588021584084992,2021-11-30 07:46:28+00:00,"The former Trump White House press secretary, who is now a host on Fox News, received a sharp reminder of the ex-president's record. https://t.co/bkd75wgZ9G",24,12,No,en,no media
1465562427735564292,2021-11-30 06:04:46+00:00,"“We have degraded"" in Congress with a ""level of hate I’ve never felt before,"" said the New York lawmaker. https://t.co/MbN2MRk1OY",110,42,No,en,no media
1465532659111710720,2021-11-30 04:06:28+00:00,"Trump “doubted the competence of intelligence professionals and felt no need for regular intelligence support,” says a report published by the CIA. https://t.co/5hLaWas3CI",33,21,No,en,no media
1465521811907612674,2021-11-30 03:23:22+00:00,"Logan claimed ""people all across the world are saying this"" about the leading infectious disease expert. https://t.co/nuEbCwaICE",2,2,No,en,no media
1465481923225174017,2021-11-30 00:44:52+00:00,"""I promise you it will go away if you just keep at it,"" Biden assured a girl while vacationing in Nantucket. https://t.co/6CeBizQMpY",19,2,No,en,no media
